Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
61,Exit long,2000-04-03 15:30,S1 Trail,2127,6,12838.5,-3825,-0.60,300,0.05,-5925,-0.92,9887.5,9.89
61,Entry long,2000-04-03 15:00,S1 Trend,2139.75,6,12838.5,-3825,-0.60,300,0.05,-5925,-0.92,9887.5,9.89
62,Exit long,2000-04-04 15:30,S1 Trail,2151.75,7,15093.75,-1575,-0.21,2275,0.30,-1575,-0.21,8312.5,8.31
62,Entry long,2000-04-04 15:00,S1 Trend,2156.25,7,15093.75,-1575,-0.21,2275,0.30,-1575,-0.21,8312.5,8.31
63,Exit long,2000-04-06 16:00,S1 Climax,2143.5,1,2134,475,0.45,737.5,0.69,-37.5,-0.04,8787.5,8.79
63,Entry long,2000-04-06 15:00,S1 Trend,2134,1,2134,475,0.45,737.5,0.69,-37.5,-0.04,8787.5,8.79
64,Exit long,2000-04-06 17:00,S1 Trail,2135,5,10670,250,0.05,3687.5,0.69,-187.5,-0.04,9037.5,9.04
64,Entry long,2000-04-06 15:00,S1 Trend,2134,5,10670,250,0.05,3687.5,0.69,-187.5,-0.04,9037.5,9.04
65,Exit long,2000-04-07 19:00,S1 Trail,2139.25,5,10698.75,-125,-0.02,3312.5,0.62,-625,-0.12,8912.5,8.91
65,Entry long,2000-04-07 15:00,S1 Trend,2139.75,5,10698.75,-125,-0.02,3312.5,0.62,-625,-0.12,8912.5,8.91
66,Exit long,2000-04-10 17:30,S1 Trail,2152.25,7,15081.5,-787.5,-0.10,2625,0.35,-787.5,-0.10,8125,8.13
66,Entry long,2000-04-10 16:00,S1 Trend,2154.5,7,15081.5,-787.5,-0.10,2625,0.35,-787.5,-0.10,8125,8.13
67,Exit long,2000-04-11 20:00,S1 Trail,2128.75,3,6423.75,-1875,-0.58,900,0.28,-1875,-0.58,6250,6.25
67,Entry long,2000-04-11 17:00,S1 Trend,2141.25,3,6423.75,-1875,-0.58,900,0.28,-1875,-0.58,6250,6.25
68,Exit short,2000-04-14 19:30,S3 Scalp,1998.75,2,4068,3525,1.73,3525,1.73,-150,-0.07,9775,9.78
68,Entry short,2000-04-14 16:30,S3 Hedge,2034,2,4068,3525,1.73,3525,1.73,-150,-0.07,9775,9.78
69,Exit short,2000-04-14 21:00,EOD,1980.5,1,2003.5,1150,1.15,1925,1.92,-75,-0.07,10925,10.93
69,Entry short,2000-04-14 20:00,S3 Hedge,2003.5,1,2003.5,1150,1.15,1925,1.92,-75,-0.07,10925,10.93
70,Exit long,2000-04-18 17:30,S1 Climax,2060.5,1,2038.5,1100,1.08,1250,1.23,-187.5,-0.18,12025,12.03
