Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USD,Cumulative P&L %
186,Entry long,22/03/2021 02:30,Long,14.62,1331.574,19467.61188,1358.21,6.98,2623.2,13.47,-93.21,-0.48,-1888.6,-1.89
187,Exit short,24/03/2021 07:30,Short Exit,14.56,818.818,11651.78014,-270.21,-2.32,294.77,2.53,-483.1,-4.15,-2158.81,-2.16
187,Entry short,23/03/2021 06:30,Short,14.23,818.818,11651.78014,-270.21,-2.32,294.77,2.53,-483.1,-4.15,-2158.81,-2.16
188,Exit long,24/03/2021 20:00,Long Exit,14.65,1238.031,18174.29508,-37.14,-0.2,854.24,4.7,-123.8,-0.68,-2195.96,-2.2
188,Entry long,24/03/2021 10:30,Long,14.68,1238.031,18174.29508,-37.14,-0.2,854.24,4.7,-123.8,-0.68,-2195.96,-2.2
189,Exit short,26/03/2021 01:00,Short Exit,13.18,961.34,13314.559,644.1,4.84,1326.65,9.96,-76.91,-0.58,-1551.86,-1.55
189,Entry short,24/03/2021 22:30,Short,13.85,961.34,13314.559,644.1,4.84,1326.65,9.96,-76.91,-0.58,-1551.86,-1.55
190,Exit short,26/03/2021 06:00,Stop Hit,13.45,1018.785,12592.1826,-1110.48,-8.82,61.13,0.49,-1141.04,-9.06,-2662.33,-2.66
190,Entry short,26/03/2021 03:00,Short,12.36,1018.785,12592.1826,-1110.48,-8.82,61.13,0.49,-1141.04,-9.06,-2662.33,-2.66
191,Exit long,29/03/2021 06:30,Long Exit,17.76,938.486,12810.3339,3857.18,30.11,5377.53,41.98,-290.93,-2.27,1194.84,1.19
191,Entry long,26/03/2021 07:00,Long,13.65,938.486,12810.3339,3857.18,30.11,5377.53,41.98,-290.93,-2.27,1194.84,1.19
